P_ID,P_Name,Category,Specs,Price,Nro_Ope,Edad_Prom,Flg_Hombre,Flg_Mujer,Per_VenL,Mes_Lanza,Prod_Rat,Flg_M5_post,Und_M6,Und_Ven,Afin_Hombre,Afin_Mujer,Edad_Pts,MesL_Pts
PD_21008237,Southern,Fashion,thought,426.07,8,54,1,1,202301,1,1.75,1,25,53,0.4980,0.4980,2,3
PD_21003606,Former,"Home Appliance",option,388.44,7,34,1,1,202308,8,2.14,1,22,36,0.5274,0.5274,7,2
PD_21007384,Together,Electronics,phone,147.83,3,38,1,1,202306,6,2.67,1,15,24,0.4976,0.4976,4,2
PD_21003946,Leader,Books,travel,205.36,3,39,1,1,202301,1,2.67,1,16,20,0.4954,0.4954,3,1
PD_21000691,Structure,Fashion,treatment,293.92,6,37,1,1,202301,1,3.5,1,8,18,0.4980,0.4980,3,3
PD_21004023,Notice,"Home Appliance",interesting,21.01,5,52,1,0,202301,1,2.8,1,5,14,0.5274,0.0000,4,5
PD_21000334,Community,Fashion,reduce,105.34,4,40,1,1,202303,3,3.25,1,10,20,0.4980,0.4980,3,2
PD_21006803,Six,"Home Appliance",recently,250.65,4,54,0,1,202304,4,1.25,1,18,20,0.0000,0.5274,4,5
PD_21003997,Important,Fitness,trip,27.98,6,40,1,1,202301,1,2.17,1,11,28,0.5248,0.5248,2,2
PD_21007934,For,Fashion,result,109.54,4,46,1,1,202310,10,1,1,38,24,0.4980,0.4980,1,5
PD_21002169,Product,Books,focus,151.16,6,51,1,1,202307,7,1.17,1,23,45,0.4954,0.4954,2,5
PD_21004021,Hundred,Electronics,region,126.03,3,29,1,1,202305,5,3,1,23,23,0.4976,0.4976,7,2
PD_21002298,Yeah,Fitness,point,437.84,6,60,1,1,202312,12,2.67,1,13,36,0.5248,0.5248,1,2
PD_21007731,Another,Books,great,261.35,2,52,1,1,202304,4,2,1,4,4,0.4954,0.4954,2,2
PD_21001697,Bank,"Home Appliance",use,277.13,5,64,0,1,202303,3,2,1,11,41,0.0000,0.5274,5,-1
PD_21000706,Tax,Electronics,at,187.37,3,26,1,0,202404,4,2.67,1,17,27,0.4976,0.0000,7,2
PD_21001565,Identify,Electronics,son,336.72,3,52,0,1,202308,8,4.33,1,7,10,0.0000,0.4976,3,4
PD_21009358,Day,Fitness,material,178.52,3,51,0,1,202405,5,1,1,10,12,0.0000,0.5248,3,-1
PD_21007286,Image,"Home Appliance",trouble,109.82,6,48,1,1,202303,3,1.67,1,18,41,0.5274,0.5274,3,-1
PD_21002749,Heavy,Fitness,fast,175.07,5,37,1,1,202308,8,2.4,1,10,23,0.5248,0.5248,2,5
PD_21004067,Financial,Books,trial,290.17,4,42,1,1,202301,1,1.75,1,12,29,0.4954,0.4954,4,1
PD_21005462,Age,"Home Appliance",but,34.57,3,64,1,1,202308,8,2.33,1,4,5,0.5274,0.5274,5,2
PD_21004455,Tend,Fitness,very,459.06,5,45,1,1,202401,1,3.4,1,13,34,0.5248,0.5248,4,2
PD_21004655,Business,Books,return,449.18,6,37,1,1,202406,6,3,1,21,45,0.4954,0.4954,3,2
PD_21009145,Section,Fitness,attorney,122.66,3,31,0,1,202307,7,2.67,1,12,20,0.0000,0.5248,7,2
PD_21000220,Industry,"Home Appliance",hotel,197.19,6,33,1,1,202302,2,1.17,1,14,26,0.5274,0.5274,7,2
PD_21000817,Control,Fashion,cold,212.73,9,61,0,1,202401,1,2.44,1,10,66,0.0000,0.4980,4,3
PD_21007118,During,Books,little,114.39,2,62,0,1,202301,1,2,1,13,13,0.0000,0.4954,1,1
PD_21006088,Nothing,Fashion,space,113.2,3,42,0,1,202308,8,1.33,1,12,16,0.0000,0.4980,1,2
PD_21002890,Activity,Electronics,action,183.43,6,41,1,1,202309,9,2.17,1,16,35,0.4976,0.4976,4,2
PD_21008857,Receive,"Home Appliance",loss,296.15,4,51,1,1,202404,4,1.25,1,15,23,0.5274,0.5274,4,5
PD_21000553,Consider,Fashion,you,266.03,6,38,1,0,202302,2,1.5,1,18,32,0.4980,0.0000,3,2
PD_21004711,Window,Electronics,pattern,395.92,4,33,1,1,202401,1,2.25,1,16,19,0.4976,0.4976,7,5
PD_21001635,Military,"Home Appliance",house,223.7,2,23,1,0,202404,4,2.5,1,7,7,0.5274,0.0000,6,5
PD_21009156,Little,Electronics,economic,183.25,3,56,1,1,202302,2,2.33,1,11,20,0.4976,0.4976,1,2
PD_21008181,Case,Books,enjoy,283.74,2,43,1,1,202307,7,3.5,1,16,16,0.4954,0.4954,4,5
PD_21003942,Side,Electronics,spring,24.68,3,47,1,1,202305,5,1.33,1,15,23,0.4976,0.4976,2,2
PD_21003593,What,Fashion,close,485.81,7,47,1,1,202304,4,2.43,1,11,42,0.4980,0.4980,1,5
PD_21005232,Test,Fitness,opportunity,249.19,5,39,1,1,202303,3,1.2,1,8,20,0.5248,0.5248,2,2
PD_21002353,Contain,Fitness,court,239.79,7,33,1,1,202312,12,3.29,1,9,29,0.5248,0.5248,7,2
PD_21004728,At,Fashion,person,152.32,3,64,1,1,202304,4,2,1,19,19,0.4980,0.4980,5,5
PD_21003779,Use,"Home Appliance",current,202.6,4,44,1,0,202305,5,2.5,1,18,36,0.5274,0.0000,3,-1
PD_21004756,Authority,"Home Appliance",second,408.4,6,50,1,0,202307,7,3.33,1,4,12,0.5274,0.0000,4,-1
PD_21000524,Condition,Fitness,return,212.81,3,58,1,0,202301,1,1.33,1,18,23,0.5248,0.0000,1,2
PD_21006616,West,Fitness,garden,389.74,8,42,1,1,202305,5,2.62,1,14,29,0.5248,0.5248,4,-1
PD_21008086,Relationship,Electronics,television,390.15,6,31,0,1,202302,2,3.5,1,8,30,0.0000,0.4976,7,2
PD_21007306,Thousand,"Home Appliance",administration,303.16,5,37,1,1,202305,5,2,1,17,24,0.5274,0.5274,2,-1
PD_21003460,Down,"Home Appliance",contain,65.16,4,43,0,1,202309,9,2.25,1,16,22,0.0000,0.5274,3,2
PD_21005772,Environmental,Fitness,window,149.4,4,25,0,1,202309,9,2.25,1,19,37,0.0000,0.5248,5,2
PD_21006981,Onto,Books,imagine,119.08,5,47,0,1,202407,7,1.6,1,16,22,0.0000,0.4954,4,5
PD_21002757,Assume,Fashion,huge,265.6,3,29,1,1,202304,4,1.33,1,25,22,0.4980,0.4980,6,5
PD_21003385,Color,Books,none,280.46,2,33,1,1,202311,11,2,1,9,9,0.4954,0.4954,7,2
PD_21002819,Somebody,Electronics,foreign,416.22,8,51,1,1,202309,9,3.12,1,19,39,0.4976,0.4976,3,2
PD_21000122,His,"Home Appliance",tough,296.8,5,49,1,1,202403,3,3.4,1,22,29,0.5274,0.5274,4,-1
PD_21003668,Blood,"Home Appliance",certain,90.12,5,33,1,1,202310,10,2.2,1,27,47,0.5274,0.5274,7,2
PD_21000702,Accept,Fashion,medical,374.61,2,33,1,1,202307,7,1.5,1,9,9,0.4980,0.4980,6,-1
PD_21002988,Yes,"Home Appliance",human,328.44,4,46,1,0,202303,3,3.25,1,8,22,0.5274,0.0000,3,-1
PD_21003377,Suggest,Fashion,question,66.24,6,46,0,1,202306,6,2.33,1,17,45,0.0000,0.4980,1,0
PD_21000492,Relate,Fitness,win,319.03,2,53,1,1,202306,6,2.5,1,7,7,0.5248,0.5248,3,2
PD_21002453,Score,Fashion,word,418.39,2,31,1,0,202307,7,0.5,1,15,15,0.4980,0.0000,6,-1
PD_21000005,Attention,"Home Appliance",conference,71.29,4,48,1,0,202401,1,2.75,1,10,21,0.5274,0.0000,3,5
PD_21000951,Dream,Electronics,none,174.82,2,43,1,0,202402,2,0.5,1,7,7,0.4976,0.0000,2,2
PD_21005616,New,Fitness,project,479.25,4,26,0,1,202301,1,4,1,12,24,0.0000,0.5248,7,2
PD_21006247,Scene,Fashion,message,284.17,5,52,1,1,202306,6,3.2,1,11,32,0.4980,0.4980,2,0
PD_21006308,Throughout,Fitness,south,445.86,3,43,1,0,202406,6,2.33,1,5,7,0.5248,0.0000,4,2
PD_21008064,Like,Fitness,black,144.45,4,46,0,1,202308,8,2.5,1,14,26,0.0000,0.5248,4,5
PD_21009030,Or,Fitness,raise,156.88,4,37,1,1,202312,12,2.5,1,9,18,0.5248,0.5248,2,2
PD_21009835,Institution,Fashion,detail,271.9,5,38,0,1,202404,4,3.4,1,8,19,0.0000,0.4980,3,5
PD_21009247,Physical,Fitness,resource,187.25,2,46,1,0,202406,6,0.5,1,18,18,0.5248,0.0000,4,2
PD_21009717,Wind,Fitness,rise,85.46,3,50,1,1,202407,7,2.33,1,13,23,0.5248,0.5248,3,2
PD_21003441,Affect,"Home Appliance",mother,222.5,9,40,1,1,202301,1,1.56,1,39,55,0.5274,0.5274,2,5
PD_21001988,Office,"Home Appliance",film,230.13,3,28,1,0,202405,5,2.33,1,6,10,0.5274,0.0000,7,-1
PD_21004510,Possible,Fitness,thus,398.27,3,45,1,1,202308,8,1.67,1,10,16,0.5248,0.5248,4,5
PD_21000855,Section,Books,listen,63.13,4,42,1,1,202404,4,2.75,1,10,28,0.4954,0.4954,4,2
PD_21001794,Debate,"Home Appliance",adult,23.68,4,46,1,1,202307,7,2,1,12,29,0.5274,0.5274,3,-1
PD_21006304,If,Fitness,lose,374.34,4,38,1,1,202303,3,0.5,1,33,32,0.5248,0.5248,2,2
PD_21003042,Success,Fashion,little,92.16,2,56,1,1,202305,5,1,1,18,18,0.4980,0.4980,4,-1
PD_21006850,Season,Fitness,determine,219.95,7,33,1,1,202308,8,2.14,1,33,55,0.5248,0.5248,7,5
PD_21005452,Brother,Books,together,144.68,2,49,1,0,202406,6,3.5,1,10,10,0.4954,0.0000,2,2
PD_21004195,Pm,Fitness,on,293.33,3,36,1,1,202404,4,3.67,1,26,17,0.5248,0.5248,2,5
PD_21003391,Include,"Home Appliance",policy,354.43,3,38,0,1,202401,1,3.67,1,15,25,0.0000,0.5274,2,5
PD_21005766,Appear,Fashion,impact,109.31,3,40,0,1,202304,4,3.33,1,16,21,0.0000,0.4980,3,5
PD_21006377,Republican,Electronics,effort,49.01,2,39,1,1,202310,10,2,1,11,11,0.4976,0.4976,4,4
PD_21002053,Loss,Electronics,decision,120.14,3,57,0,1,202305,5,3.33,1,6,7,0.0000,0.4976,1,2
