P_ID,P_Name,Category,Specs,Price,Nro_Ope,Edad_Prom,Flg_Hombre,Flg_Mujer,Per_VenL,Mes_Lanza,Prod_Rat,Flg_M5_post,Und_M6,Und_Ven,Afin_Hombre,Afin_Mujer,Edad_Pts,MesL_Pts,Grupo_Specs,Nom_Gru_Specs,Rango_Precio,Val_Ran_Precio,C1_Rat,C3_Ven,Flag_Exito,Flag_Exito2,Flag_Exito3,Flag_Exito4,Flag_Exito5,Flag_Exito6,Flag_Exito7
PD_21008237,Southern,2,thought,426.07,8,54,1,1,202301,1,1.75,1,25,53,0.498,0.498,2,3,7.0,7: Gestión emocional,De s/401 a s/500,5,0,0,0,0,0,0,1,0,0
PD_21003606,Former,4,option,388.44,7,34,1,1,202308,8,2.14,1,22,36,0.5274,0.5274,7,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21007384,Together,1,phone,147.83,3,38,1,1,202306,6,2.67,1,15,24,0.4976,0.4976,4,2,4.0,4: Entorno laboral,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21003946,Leader,0,travel,205.36,3,39,1,1,202301,1,2.67,1,16,20,0.4954,0.4954,3,1,5.0,5: Entorno social,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21000691,Structure,2,treatment,293.92,6,37,1,1,202301,1,3.5,1,8,18,0.498,0.498,3,3,9.0,9: Instituciones,De s/201 a s/300,3,1,0,0,1,1,0,1,0,0
PD_21004023,Notice,4,interesting,21.01,5,52,1,0,202301,1,2.8,1,5,14,0.5274,0.0,4,5,7.0,7: Gestión emocional,De s/10 a s/100,1,0,0,0,0,0,0,1,0,0
PD_21000334,Community,2,reduce,105.34,4,40,1,1,202303,3,3.25,1,10,20,0.498,0.498,3,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21006803,Six,4,recently,250.65,4,54,0,1,202304,4,1.25,1,18,20,0.0,0.5274,4,5,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21003997,Important,3,trip,27.98,6,40,1,1,202301,1,2.17,1,11,28,0.5248,0.5248,2,2,7.0,7: Gestión emocional,De s/10 a s/100,1,0,0,0,0,0,0,1,0,0
PD_21007934,For,2,result,109.54,4,46,1,1,202310,10,1.0,1,38,24,0.498,0.498,1,5,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21002169,Product,0,focus,151.16,6,51,1,1,202307,7,1.17,1,23,45,0.4954,0.4954,2,5,2.0,2: Desarrollo personal,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21004021,Hundred,1,region,126.03,3,29,1,1,202305,5,3.0,1,23,23,0.4976,0.4976,7,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21002298,Yeah,3,point,437.84,6,60,1,1,202312,12,2.67,1,13,36,0.5248,0.5248,1,2,0.0,0: Sin valor temático,De s/401 a s/500,5,0,0,0,0,0,0,1,0,0
PD_21007731,Another,0,great,261.35,2,52,1,1,202304,4,2.0,1,4,4,0.4954,0.4954,2,2,7.0,7: Gestión emocional,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21001697,Bank,4,use,277.13,5,64,0,1,202303,3,2.0,1,11,41,0.0,0.5274,5,-1,0.0,0: Sin valor temático,De s/201 a s/300,3,0,0,0,0,0,0,1,0,0
PD_21000706,Tax,1,at,187.37,3,26,1,0,202404,4,2.67,1,17,27,0.4976,0.0,7,2,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21001565,Identify,1,son,336.72,3,52,0,1,202308,8,4.33,1,7,10,0.0,0.4976,3,4,3.0,3: Entorno familiar,De s/301 a s/400,4,1,1,1,1,1,1,1,1,1
PD_21009358,Day,3,material,178.52,3,51,0,1,202405,5,1.0,1,10,12,0.0,0.5248,3,-1,8.0,8: Cuidado personal,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21007286,Image,4,trouble,109.82,6,48,1,1,202303,3,1.67,1,18,41,0.5274,0.5274,3,-1,7.0,7: Gestión emocional,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21002749,Heavy,3,fast,175.07,5,37,1,1,202308,8,2.4,1,10,23,0.5248,0.5248,2,5,3.0,3: Entorno familiar,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21004067,Financial,0,trial,290.17,4,42,1,1,202301,1,1.75,1,12,29,0.4954,0.4954,4,1,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,0,0,0,0,0,1,0,0
PD_21005462,Age,4,but,34.57,3,64,1,1,202308,8,2.33,1,4,5,0.5274,0.5274,5,2,0.0,0: Sin valor temático,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21004455,Tend,3,very,459.06,5,45,1,1,202401,1,3.4,1,13,34,0.5248,0.5248,4,2,0.0,0: Sin valor temático,De s/401 a s/500,5,1,0,0,1,1,0,1,0,0
PD_21004655,Business,0,return,449.18,6,37,1,1,202406,6,3.0,1,21,45,0.4954,0.4954,3,2,0.0,0: Sin valor temático,De s/401 a s/500,5,1,0,0,1,1,0,1,0,0
PD_21009145,Section,3,attorney,122.66,3,31,0,1,202307,7,2.67,1,12,20,0.0,0.5248,7,2,9.0,9: Instituciones,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21000220,Industry,4,hotel,197.19,6,33,1,1,202302,2,1.17,1,14,26,0.5274,0.5274,7,2,6.0,6: Hogar,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21000817,Control,2,cold,212.73,9,61,0,1,202401,1,2.44,1,10,66,0.0,0.498,4,3,8.0,8: Cuidado personal,De s/201 a s/300,3,0,0,0,0,0,0,1,0,0
PD_21007118,During,0,little,114.39,2,62,0,1,202301,1,2.0,1,13,13,0.0,0.4954,1,1,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21006088,Nothing,2,space,113.2,3,42,0,1,202308,8,1.33,1,12,16,0.0,0.498,1,2,6.0,6: Hogar,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21002890,Activity,1,action,183.43,6,41,1,1,202309,9,2.17,1,16,35,0.4976,0.4976,4,2,2.0,2: Desarrollo personal,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21008857,Receive,4,loss,296.15,4,51,1,1,202404,4,1.25,1,15,23,0.5274,0.5274,4,5,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21000553,Consider,2,you,266.03,6,38,1,0,202302,2,1.5,1,18,32,0.498,0.0,3,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21004711,Window,1,pattern,395.92,4,33,1,1,202401,1,2.25,1,16,19,0.4976,0.4976,7,5,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21001635,Military,4,house,223.7,2,23,1,0,202404,4,2.5,1,7,7,0.5274,0.0,6,5,6.0,6: Hogar,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21009156,Little,1,economic,183.25,3,56,1,1,202302,2,2.33,1,11,20,0.4976,0.4976,1,2,5.0,5: Entorno social,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21008181,Case,0,enjoy,283.74,2,43,1,1,202307,7,3.5,1,16,16,0.4954,0.4954,4,5,0.0,0: Sin valor temático,De s/201 a s/300,3,1,1,1,1,1,1,1,1,1
PD_21003942,Side,1,spring,24.68,3,47,1,1,202305,5,1.33,1,15,23,0.4976,0.4976,2,2,6.0,6: Hogar,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21003593,What,2,close,485.81,7,47,1,1,202304,4,2.43,1,11,42,0.498,0.498,1,5,0.0,0: Sin valor temático,De s/401 a s/500,5,0,0,0,0,0,0,1,0,0
PD_21005232,Test,3,opportunity,249.19,5,39,1,1,202303,3,1.2,1,8,20,0.5248,0.5248,2,2,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,0,0,0,0,0,1,0,0
PD_21002353,Contain,3,court,239.79,7,33,1,1,202312,12,3.29,1,9,29,0.5248,0.5248,7,2,9.0,9: Instituciones,De s/201 a s/300,3,1,0,0,1,1,0,1,0,0
PD_21004728,At,2,person,152.32,3,64,1,1,202304,4,2.0,1,19,19,0.498,0.498,5,5,4.0,4: Entorno laboral,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21003779,Use,4,current,202.6,4,44,1,0,202305,5,2.5,1,18,36,0.5274,0.0,3,-1,4.0,4: Entorno laboral,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21004756,Authority,4,second,408.4,6,50,1,0,202307,7,3.33,1,4,12,0.5274,0.0,4,-1,0.0,0: Sin valor temático,De s/401 a s/500,5,1,0,0,1,1,0,1,0,0
PD_21000524,Condition,3,return,212.81,3,58,1,0,202301,1,1.33,1,18,23,0.5248,0.0,1,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21006616,West,3,garden,389.74,8,42,1,1,202305,5,2.62,1,14,29,0.5248,0.5248,4,-1,6.0,6: Hogar,De s/301 a s/400,4,0,0,0,0,0,0,1,0,0
PD_21008086,Relationship,1,television,390.15,6,31,0,1,202302,2,3.5,1,8,30,0.0,0.4976,7,2,9.0,9: Instituciones,De s/301 a s/400,4,1,0,0,1,1,0,1,0,0
PD_21007306,Thousand,4,administration,303.16,5,37,1,1,202305,5,2.0,1,17,24,0.5274,0.5274,2,-1,5.0,5: Entorno social,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21003460,Down,4,contain,65.16,4,43,0,1,202309,9,2.25,1,16,22,0.0,0.5274,3,2,2.0,2: Desarrollo personal,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21005772,Environmental,3,window,149.4,4,25,0,1,202309,9,2.25,1,19,37,0.0,0.5248,5,2,8.0,8: Cuidado personal,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21006981,Onto,0,imagine,119.08,5,47,0,1,202407,7,1.6,1,16,22,0.0,0.4954,4,5,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21002757,Assume,2,huge,265.6,3,29,1,1,202304,4,1.33,1,25,22,0.498,0.498,6,5,3.0,3: Entorno familiar,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21003385,Color,0,none,280.46,2,33,1,1,202311,11,2.0,1,9,9,0.4954,0.4954,7,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21002819,Somebody,1,foreign,416.22,8,51,1,1,202309,9,3.12,1,19,39,0.4976,0.4976,3,2,5.0,5: Entorno social,De s/401 a s/500,5,1,0,0,1,1,0,1,0,0
PD_21000122,His,4,tough,296.8,5,49,1,1,202403,3,3.4,1,22,29,0.5274,0.5274,4,-1,0.0,0: Sin valor temático,De s/201 a s/300,3,1,1,1,1,1,1,1,1,1
PD_21003668,Blood,4,certain,90.12,5,33,1,1,202310,10,2.2,1,27,47,0.5274,0.5274,7,2,0.0,0: Sin valor temático,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21000702,Accept,2,medical,374.61,2,33,1,1,202307,7,1.5,1,9,9,0.498,0.498,6,-1,9.0,9: Instituciones,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21002988,Yes,4,human,328.44,4,46,1,0,202303,3,3.25,1,8,22,0.5274,0.0,3,-1,4.0,4: Entorno laboral,De s/301 a s/400,4,1,0,0,1,1,0,1,0,0
